Date,Precip_(mm),Tmean_(C),Annual_Balance_(mmw.e.),lat,lon,
1984,3910.08,2.3,210,47.9637,-121.3485,
1985,2634.37,1.7,-310,47.9637,-121.3485,
1986,3362.97,3.1,-200,47.9637,-121.3485,
1987,2628.17,4.3,-630,47.9637,-121.3485,
1988,3840.49,3.6,140,47.9637,-121.3485,
1989,3190.18,3.3,-90,47.9637,-121.3485,
1990,5196.1,3.2,-60,47.9637,-121.3485,
1991,3446.5,3.6,380,47.9637,-121.3485,
1992,3023.2,4.5,-1850,47.9637,-121.3485,
1993,2728.24,3.1,-900,47.9637,-121.3485,
1994,3710.83,3.8,-960,47.9637,-121.3485,
1995,4101.14,3.9,-450,47.9637,-121.3485,
1996,4192.74,3,-620,47.9637,-121.3485,
1997,4435.12,3.6,350,47.9637,-121.3485,
1998,3658.89,4.2,-1460,47.9637,-121.3485,
1999,3800.55,3.1,1750,47.9637,-121.3485,
2000,2705.5,3.1,400,47.9637,-121.3485,
2001,3114.36,3.4,-1520,47.9637,-121.3485,
2002,3029.37,3.6,600,47.9637,-121.3485,
2003,3608.53,4.3,-1170,47.9637,-121.3485,
2004,3158.99,4.8,-1830,47.9637,-121.3485,
2005,2662.4,4.7,-3210,47.9637,-121.3485,
2006,3662.92,4.4,-980,47.9637,-121.3485,
2007,3386.05,4.1,-370,47.9637,-121.3485,
2008,3430.85,3.8,960,47.9637,-121.3485,
2009,3198.22,4.2,-900,47.9637,-121.3485,
2010,3067.46,4.1,-210,47.9637,-121.3485,
2011,3885.78,3.2,1470,47.9637,-121.3485,
2012,3717.18,4,380,47.9637,-121.3485,
2013,3225.25,4.4,-780,47.9637,-121.3485,
2014,4009.85,4.9,-500,47.9637,-121.3485,
2015,3612.06,5.9,-3480,47.9637,-121.3485,
2016,3663.56,4.7,-1180,47.9637,-121.3485,
2017,3564.37,4.3,-750,47.9637,-121.3485,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
